"river name","area","nodes"
"Parseta",3337.26775313,166
"Piave",4246.18238562,400
"Acheloos",5821.72815552,375
"Courant.Mimizan",769.31019267,56
"Eden",2342.89941826,255
"Gumista",583.627330345,73
"Mijares",4035.90153774,86
"Pirita",864.293615192,44
"Valgejogi",299.420138143,12
"Vasalemma",429.403083073,24
"Vistre",1061.33864548,61
"Xanthos",2612.89123082,160
"Lagan.Swe",8539.92582718,410
"Pasvik",18055.8756199,750
"Voronia",9434.51496426,514
"Imandra",12305.0336812,569
"Ponoi",4514.76818773,242
"Simojoki",3198.47083597,103
"Savaran",1114.35255032,57
"Logdealven",1458.33417969,70
"Ljungan",12810.1229623,585
"Ljusnan",20136.9524779,867
"Selja",502.474879947,24
"Jagala",1688.78094095,78
"Vaana",293.237686512,12
"Purste",723.92082444,34
"Keila",674.056855794,30
"Vihterpalu",465.360270559,28
"Maavli",230.539980431,12
"Sauga",592.875482454,40
"Paadremaa",394.657849805,20
"Audru",408.188344433,16
"Pahna",276.579944161,12
"Nasva",268.099987344,16
"Rannametsa",323.998311237,10
"Atran",3265.17033808,195
"Salaca",3344.99529557,178
"Viskan",2416.61303077,136
"Rolfsan",698.881166132,46
"Conon",1206.61720272,132
"Spey",2958.57711088,281
"Beauly",1015.78140026,116
"Ness",1861.29907398,212
"Don.Scotland",1316.37675682,103
"Nissan",1313.50284357,97
"Dee.Scotland",2141.50101234,168
"Loy",1329.40113793,167
"Tay",4965.65460212,508
"Awe",913.737916452,148
"Earn",961.174902403,100
"Leven",783.973953169,124
"Forth",1653.8543627,180
"Clyde.Scotland",2999.8004249,342
"Tweed.UK",5010.71314386,448
"Nith",1238.10946131,123
"Annan.UK",963.214446445,129
"Ribe.aa",981.181185269,70
"Esk.UK",1238.66162569,145
"Lagan.UK",601.217913424,62
"Boyne.Irland",2791.45291495,213
"Barrow",9077.33960865,499
"Dee.Wales",2001.7291945,216
"Severn.UK",11347.3707761,818
"Wye",4133.17098976,393
"Blackwater",3242.79245581,382
"Teifi",994.785064104,150
"Thames.UK",13442.3205482,658
"Canche",1415.08466925,103
"Authie",1107.05794893,103
"Bresle",757.198898213,70
"Arques",1022.42597217,88
"Touques",1285.29171001,100
"Trieux",843.881278771,86
